Job Title,Company,Location,Salary,Category,Benefits,Extract Date,Posted Date,Website,Job URL
Production Engineer,LOTTE EM MALAYSIA SDN BHD,"Kuching, Sarawak",,"Industrial EngineeringIndustrial Engineering , Engineering(Engineering)",,09-06-2024,12d ago,Jobstreet,https://www.jobstreet.com.my/job/76185472?type=standout&ref=search-standalone
Engineer Assistant,Lim Aik Chai Electrical Sdn Bhd,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Electrical/Electronic EngineeringElectrical/Electronic Engineering , Engineering(Engineering)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76447044?type=standard&ref=search-standalone
LORRY MECHANIC,METRO SEGAK FORWARDING & LOGISTIC SDN. BHD.,"Kuching, Sarawak","RM 3,000 – RM 4,000 per month","Machine OperatorsMachine Operators , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76459911?type=standard&ref=search-standalone
Billing Clerk,THIEN LEE MARKETING SDN. BHD.,"Kuching, Sarawak","RM 1,650 – RM 2,000 per month","Accounts Officers/ClerksAccounts Officers/Clerks , Accounting(Accounting)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76445995?type=standard&ref=search-standalone
Sales Executive,TOSHIBA ELEVATOR (MALAYSIA) SDN. BHD.,"Kuching, Sarawak","RM 3,000 – RM 4,500 per month","New Business DevelopmentNew Business Development , Sales(Sales)",Career Progession5 days a weekHealth Benefits,09-06-2024,4d ago,Jobstreet,https://www.jobstreet.com.my/job/76376326?type=standout&ref=search-standalone
Food Taster,KEE HUA,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Management - Department/AssistantManagement - Department/Assistant , Retail & Consumer Products(Retail & Consumer Products)",,09-06-2024,1d ago,Jobstreet,https://www.jobstreet.com.my/job/76459837?type=standard&ref=search-standalone
Admin Assistant,TENAGA SERI WANGSA SDN BHD,"Kuching, Sarawak","RM 2,000 – RM 2,500 per month","ManagementManagement , Construction(Construction)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76413091?type=standard&ref=search-standalone
Store Assistant / Store Supervisor Assistant,KWANG TAI AIR-COND & REFRIGERATION EQUIPMENT SDN BHD,"Kuching, Sarawak","RM 1,700 – RM 2,000 per month","Warehousing, Storage & DistributionWarehousing, Storage & Distribution , Manufacturing, Transport & Logistics(Manufacturing, Transport & Logistics)",,09-06-2024,3d ago,Jobstreet,https://www.jobstreet.com.my/job/76401198?type=standout&ref=search-standalone
FINANCIAL ADVISOR / WEALTH PLANNER,Infinite Wealth Academy,"Kuching, Sarawak","RM 2,000 – RM 3,000 per month","Financial PlanningFinancial Planning , Banking & Financial Services(Banking & Financial Services)",,09-06-2024,2d ago,Jobstreet,https://www.jobstreet.com.my/job/76194163?type=standard&ref=search-standalone
Financial Advisor,NND Elite Agency,"Kuching, Sarawak","RM 6,000 – RM 7,000 per month","Client ServicesClient Services , Banking & Financial Services(Banking & Financial Services)",Annual Free TripTime FlexibilityBonus 2 times a year,09-06-2024,13d ago,Jobstreet,https://www.jobstreet.com.my/job/76158361?type=standout&ref=search-standalone
